abusive,0,-1
evil gilbert approve plz captain,-1,-1
far relatively scam free upa ally ran amor slightly better know skeleton may tumble closet later face cg spectrum search bharat heart right place implementation however partly take win gst needed done,1,1
live promise annual cash support family earning per month,1,1
baramulla march national conference vice president former jammu kashmir chief minister omar abdullah tuesday said,0,0
congress dserve chance dey didnt chance last yearswould leave house open thief looted several time keep congress home dot wnt paper run nation wnt leader like victory hand,0,1
congress work divide rule pls never ever vote,1,0
economic social institutional uncertainty people going back tribalism inner peace,1,0
feeling heat upa policy let shut congress,-1,0
first time heard talking interview socialist word president sander recently girl interviewing tried gotha question pan well said asked old instead playing interview said got aggravated question total bull play recording aggregation obviously happen sick npr blatant swearing,-1,-1
fucking hell wtf happening people humanity,-1,-1
indian achievement formula think achievement advance nation diminish chance win congress election kind post seems happy,1,1
jai bharat,1,0
let save bharat terrorist pakistan want lose opposition win,1,0
lok sabha election live consulted big economist including raghuram raja minimum income scheme say rahul gandhi,1,0
punjab government implemented one new tax name punjab development tax taking rule justice,1,1
unfair yet spend lakh given deposited another account kya baba raise sambhalun ina sara pais,-1,-1
spent month ahmedabad internship pretty great city spit office staircase like epidemic,1,1
absolutely devastating,-1,-1
undertaken benefit indian people security growth violate international agreement india always stand peace ready challenge future said,1,1
congress going attract youth new voter,1,1
yep yer curry bigger dali,0,0
